Game,Date,VP Goal,Player,Faction,Total Score,Did Win,Action Card Components Used,Total Guac,Guac_Custodians,Guac_Secrets,Guac_Support,Guac_Relics,Guac_Imperial_Mecatol,Guac_Imperial_Objective,Guac_Other
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Will,Vuil'raith Cabal,10,0,12,6,1,3,0,0,0,2,0
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Mikey,Mentak Coalition,12,0,2,6,0,4,2,0,0,0,0
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Steve,Universities of Jol-Nar,15,1,10,6,0,3,1,0,0,2,0
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Tim,Emirates of Hacan,9,0,8,3,0,1,2,0,0,0,0
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Chris,L1Z1X Mindnet,7,0,4,4,0,3,0,0,0,1,0
1.11.25 Twilight Imperium Game.json,2025-01-11,14,Mark,Yssaril Tribes,11,0,12,5,0,2,1,0,0,2,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,KP,Vaden Banking Clans,6,0,5,3,0,2,1,0,0,0,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,Tanya,Free Systems Compact,11,0,6,6,0,3,1,0,0,2,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,Tim,Augurs of Ilyxum,10,0,4,2,0,1,1,0,0,0,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,Will,Kollecc Society,9,0,9,6,0,2,1,1,0,2,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,Paul,L'tokk Khrask,12,1,6,4,0,2,1,0,0,1,0
1.19.25 TI Assistant JSON Game Data.json,2025-01-19,12,Steve,Veldyr Sovereignty,9,0,7,4,1,2,1,0,0,0,0
LjnqDB_data (2).json,2025-02-08,10,Steve,Argent Flight,9,1,11,3,0,1,1,0,0,1,0
LjnqDB_data (2).json,2025-02-08,10,Ben,Embers of Muaat,6,0,7,3,0,2,1,0,0,0,0
LjnqDB_data (2).json,2025-02-08,10,Will,Ghosts of Creuss,8,0,6,5,0,3,2,0,0,0,0
LjnqDB_data (2).json,2025-02-08,10,Paul,L1Z1X Mindnet,8,0,5,4,0,3,1,0,0,0,0
LjnqDB_data (2).json,2025-02-08,10,Tanys,Council Keleres,8,0,2,5,1,2,1,0,0,1,0
LjnqDB_data (2).json,2025-02-08,10,TK,Mentak Coalition,6,0,10,3,0,2,1,0,0,0,0
nHg8Hw_data.json,2026-01-10,10,Ben,Emirates of Hacan,10,1,0,5,0,3,0,0,0,2,0
nHg8Hw_data.json,2026-01-10,10,Merrill,Naaz-Rokha Alliance,7,0,6,4,1,3,0,0,0,0,0
nHg8Hw_data.json,2026-01-10,10,Will,Firmament,5,0,1,3,0,2,0,0,0,1,0
nHg8Hw_data.json,2026-01-10,10,Paul,Crimson Rebellion,7,0,16,5,0,4,0,0,0,1,0
nHg8Hw_data.json,2026-01-10,10,Zach,Deepwrought Scholarate,8,0,15,3,0,3,0,0,0,0,0
TIAssistant_Game Data.json,2025-09-06,14,Steve,Kollecc Society,13,1,17,11,0,5,4,0,0,2,0
TIAssistant_Game Data.json,2025-09-06,14,Will,Xxcha Kingdom,11,0,16,8,0,5,1,0,0,2,0
TIAssistant_Game Data.json,2025-09-06,14,Mikey,Nivyn Star Kings,7,0,3,6,1,4,0,0,0,1,0
TIAssistant_Game Data.json,2025-09-06,14,KP,Kortali Tribunal,12,0,2,5,0,3,1,0,0,1,0
TIAssistant_Game Data.json,2025-09-06,14,Chris,Li-Zho Dynasty,10,0,4,6,0,5,0,0,0,1,0
TIAssistant_Game Data.json,2025-09-06,14,Tim,Veldyr Sovereignty,9,0,5,5,0,4,1,0,0,0,0
